Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","14","Barbados","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","50.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","50.77","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","48.37","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","49.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","827","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","836","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","50.32","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","49.78","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.31","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","62.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1163","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1257","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","56.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","60.58","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","93.79","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","103.15","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","605","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","616","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","31.32","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","32.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","45.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","46.8","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","120","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","128","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","12.46","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","12.91","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","6.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","6.85","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","551","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","546","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","35.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","35.61","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","41.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","41.2","Fc","Calculated data"
